run_at,title,language,own_price_idr,market_min_idr,market_median_idr,global_average_idr,price_delta_percent,alert_level,underpriced_by_idr,underpriced_by_percent,recommendation,ai_summary
2026-05-21T02:26:51.452952+00:00,Paldean Fates Pokemon Center Elite Trainer Box ETB Sealed - Kartu Pokemon TCG English Cards,English,20000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Pikachu KFC PSA 10 Gem Mint - 016/S-P - Chaki Kids Meal Promo Card - Kartu Pokemon TCG Indonesia,Indonesian,15000000,13500000,15000000,18166667,-17.43,red,,,Price looks broadly aligned with current references. Monitor but no urgent change.,
2026-05-21T02:26:51.452952+00:00,Mew Ex SAR ( Bubble Mew ) PSA 10 Gem Mint - 347/190 sv4a - Harta Berkilau Ex - Kartu Pokemon TCG Indonesia,Indonesian,15000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Ditto Metamong Project Promo PSA 10 Gem Mint - 173/SV-P Promo Card - Kartu Pokemon TCG,Unknown,9000000,14250000,14875000,14875000,-39.5,red,5875000,39.5,"Looks underpriced by about 39.5% versus market median. Consider raising near Rp 14,875,000, then leave room for platform fees and negotiation.",
2026-05-21T02:26:51.452952+00:00,Birthday Pikachu Holo Celebrations 2021 #24 PSA 10 Gem Mint - Celebrations - Kartu Pokemon TCG English,English,8000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Mega Charizard X Ex SAR 137/103 MA2 - Kobaran Biru - Kartu Pokemon TCG Indonesia,Indonesian,8000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Meowth Ex SAR 114/080 m3 - Munikis / Nihility Zero - Kartu Pokemon TCG Japanese,Japanese,5000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Bulbasaur Illustration Rare IR AR 166/165 MEW EN - English 151 - Kartu Pokemon TCG English Inggris,English,3500000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Mega Charizard X Ex Promo Card Black Star MEP EN 023 MA - UPC Phantasmal Flames - Kartu Pokemon TCG English,English,3500000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,M Gyarados Ex PSA 9 019/080 RR XY9 JP - Rage of the Broken Heavens - Kartu Pokemon TCG Japanese,Japanese,3000000,3000000,3000000,3000000,0.0,none,,,Price looks broadly aligned with current references. Monitor but no urgent change.,
2026-05-21T02:26:51.452952+00:00,Pokemon Ascended Heroes Booster Bundle Box - Kartu TCG Inggris English Cards Games dengan 6 Booster Packs,English,2700000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Magneton Pokemon Center Stamp Promo Card Shinji Kanda 159 SVP EN Black Star Promo Elite Trainer Box ETB Surging Sparks - Kartu Pokemon TCG English Inggris,English,2500000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Raichu LV.X 1st Edition #26 Stormfront Vintage- Kartu Pokemon Card TCG Japanese,Japanese,2500000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Lisia's Appeal SAR PSA 9 SV7a 091/064 JP - Paradise Dragona - Kartu Pokemon TCG Japanese,Japanese,2200000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Mewtwo Tim Roket Ex SAR 177/138 SV10S -  Kehadiran Juara - Kartu Pokemon TCG Indonesia,Indonesian,2000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Mewtwo Tim Roket Ex SAR 237/193 MA3 - Evolusi Mega Impian Ex - Kartu Pokemon TCG Indonesia,Indonesian,1750000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Pikachu Full Art 160/159 Crown Zenith SWSH Pokemon TCG - Kartu Pokemon TCG Card English,English,1500000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Gengar VMAX SGG 002/019 High Class Deck - Kartu Pokemon TCG Japanese,Japanese,1450000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Leafeon Vstar SAR - 210/172 s12a - Vstar Universe - Kartu Pokemon TCG Japanese,Japanese,1450000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,"Vaporeon R Holo Foil : Old Back [PMCG2 No.134](Expansion Pack ""Pokemon Jungle"") - Kartu Pokemon TCG Card Japanese",Japanese,1250000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Vaporeon Ex SAR 205/187 sv8a - Festival Terastal Ex - Kartu Pokemon TCG Indonesia,Indonesian,1200000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Espeon Ex SAR 211/187 sv8a - Festival Terastal Ex - Kartu Pokemon TCG Indonesia,Indonesian,1200000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Mew ex SSR (Bubble Mew Sachet / Ekonomis) 327/190 sv4a - Shiny Treasure Ex - Kartu Pokemon TCG Japanese,Japanese,1000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,"Dark Jolteon : Old Back [PMCG4 No.135](Expansion Pack ""Team Rocket"") - Kartu Pokemon TCG Card Japanese",Japanese,1000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Dedenne Shiny SV051/SV122 - Shining Fates - Kartu Pokemon TCG English,English,1000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Scizor AR PSA 10 Gem Mint - 116/108 sv3 - Ruler of the Black Flame - Kartu Pokemon TCG Japanese,Japanese,1000000,1000000,1000000,1000000,0.0,none,,,Price looks broadly aligned with current references. Monitor but no urgent change.,
2026-05-21T02:26:51.452952+00:00,Mega Lopunny Ex SIR PFL EN 128/094 - Phantasmal Flames - Kartu Pokemon TCG English,English,1000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Hop's Zacian Ex SIR JTG EN 186/159 - Journey Together - Kartu Pokemon TCG English,English,1000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Pikachu Promo McD McDonald Sealed Pack - Kartu Promo Pokemon TCG Japanese,Japanese,1000000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Magneton Promo Card Shinji Kanda 159 SVP EN Black Star Promo Elite Trainer Box ETB Surging Sparks - Kartu Pokemon TCG English Inggris,English,950000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Mew Ex SR 195/165 sv2a - Japanese 151 - Kartu Pokemon TCG Japanese,Japanese,950000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Mistika SAR 350/190 - PSA 9 - Harta Berkilau Ex - Kartu Pokemon TCG,Unknown,900000,900000,2139600,2139600,-57.94,red,1239600,57.94,"Looks underpriced by about 57.9% versus market median. Consider raising near Rp 2,139,600, then leave room for platform fees and negotiation.",
2026-05-21T02:26:51.452952+00:00,"Eevee GX [ SMI 017/038 ] - Starter Set ""Flareon GX of Fire / Vaporeon GX of Water / Jolteon GX of Lightning"" - Kartu Pokemon TCG Card Japanese",Japanese,850000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Mega Meganium Ex SAR 169/123 MA4 - Ledakan Peniada - Kartu Pokemon TCG Indonesia,Indonesian,850000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Pokemon Booster Pack 151 English - Pack / ETB Elite Trainer Box - Kartu Pokemon TCG English,English,750000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Plusle AR 176/170 sv3s - Kilau Hitam - Kartu Pokemon TCG Indonesia,Indonesian,675000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Lucario - 214/XY-P Black Star Promo Regular (Japanese) Uniqlo  - Kartu Pokemon TCG Japanese,Japanese,650000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Eevee Ex SAR 223/187 sv8a - Festival Terastal Ex - Kartu Pokemon TCG Indonesia,Indonesian,690000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,GIovanni's Charisma SAR 207/165 sv2a - 151 - Kartu Pokemon TCG Japanese,Japanese,600000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Mega Hawlucha Ex SAR 239/193 MA3 - Mega Dream Ex - Kartu Pokemon TCG Japanese,Japanese,525000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Hydreigon Ex SAR 232/182 sv8s - Kilat rasi - Kartu Pokemon TCG Indonesia,Indonesian,525000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Grimmsnarl Marnie Ex SAR 243/193 MA3 - Evolusi Mega Impian Ex - Kartu Pokemon TCG Indonesia,Indonesian,525000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Sylveon Master Ball MasterBall 068/187 sv8a - Festival Terastal Ex - Kartu Pokemon TCG Indonesia,Indonesian,525000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Pokemon Gem Pack Vol. 1 Horizon Promo Card Sealed - Pokemon TCG Chinese,Unknown,500000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Stunfisk AR 234/172 sv11s Mud Bolt - Hitam & Putih - Kartu Pokemon TCG Indonesia,Indonesian,500000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Solosis AR SV11B 123/086 - Black Bolt - Kartu Pokemon TCG Japanese,Japanese,500000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Pack Kartu Promo Sealed Harta Berkilau Ex - Bisa dapat charmander squirtle bulbasaur koraidon miraidon 092 093 094 095 096 /SV-P  - Kartu Promo Pokemon TCG Indonesia,Indonesian,500000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Raichu [Prism] #26 Pokemon Japanese Sealdass Series 2 - Kartu Pokemon TCG Japanese,Japanese,500000,,,,,none,,,No reliable market price found yet. Check manually or improve this product's source URLs.,
2026-05-21T02:26:51.452952+00:00,Irida SR PSA 9 POP 3 - 077/067 s10p - Penyulap Ruang - Pokemon TCG,Unknown,500000,500000,725000,725000,-31.03,red,225000,31.03,"Looks underpriced by about 31.0% versus market median. Consider raising near Rp 725,000, then leave room for platform fees and negotiation.",
